File Name,Project,Control,Peak Type,Aligner,Peak Caller,Deduplicator,Test,Peak Counts
Namani_no_control_broad_STAR_genrich_no_deduplication_test1_peaks,Namani,no_control,broad,STAR,genrich,no_deduplication,test1,308549
Namani_no_control_broad_STAR_genrich_no_deduplication_test2_peaks,Namani,no_control,broad,STAR,genrich,no_deduplication,test2,308549
Namani_no_control_broad_STAR_genrich_no_deduplication_test3_peaks,Namani,no_control,broad,STAR,genrich,no_deduplication,test3,308549
Namani_no_control_broad_STAR_genrich_picard_test1_peaks,Namani,no_control,broad,STAR,genrich,picard,test1,216046
Namani_no_control_broad_STAR_genrich_picard_test2_peaks,Namani,no_control,broad,STAR,genrich,picard,test2,216046
Namani_no_control_broad_STAR_genrich_picard_test3_peaks,Namani,no_control,broad,STAR,genrich,picard,test3,216046
Namani_no_control_broad_STAR_genrich_sambamba_test1_peaks,Namani,no_control,broad,STAR,genrich,sambamba,test1,216046
Namani_no_control_broad_STAR_genrich_sambamba_test2_peaks,Namani,no_control,broad,STAR,genrich,sambamba,test2,216046
Namani_no_control_broad_STAR_genrich_sambamba_test3_peaks,Namani,no_control,broad,STAR,genrich,sambamba,test3,216046
Namani_no_control_broad_STAR_genrich_samtools_test1_peaks,Namani,no_control,broad,STAR,genrich,samtools,test1,216046
Namani_no_control_broad_STAR_genrich_samtools_test2_peaks,Namani,no_control,broad,STAR,genrich,samtools,test2,216046
Namani_no_control_broad_STAR_genrich_samtools_test3_peaks,Namani,no_control,broad,STAR,genrich,samtools,test3,216046
Namani_no_control_broad_STAR_macs3_no_deduplication_test1_peaks,Namani,no_control,broad,STAR,macs3,no_deduplication,test1,3807
Namani_no_control_broad_STAR_macs3_no_deduplication_test2_peaks,Namani,no_control,broad,STAR,macs3,no_deduplication,test2,3807
Namani_no_control_broad_STAR_macs3_no_deduplication_test3_peaks,Namani,no_control,broad,STAR,macs3,no_deduplication,test3,3807
Namani_no_control_broad_STAR_macs3_picard_test1_peaks,Namani,no_control,broad,STAR,macs3,picard,test1,3798
Namani_no_control_broad_STAR_macs3_picard_test2_peaks,Namani,no_control,broad,STAR,macs3,picard,test2,3798
Namani_no_control_broad_STAR_macs3_picard_test3_peaks,Namani,no_control,broad,STAR,macs3,picard,test3,3798
Namani_no_control_broad_STAR_macs3_sambamba_test1_peaks,Namani,no_control,broad,STAR,macs3,sambamba,test1,3798
Namani_no_control_broad_STAR_macs3_sambamba_test2_peaks,Namani,no_control,broad,STAR,macs3,sambamba,test2,3798
Namani_no_control_broad_STAR_macs3_sambamba_test3_peaks,Namani,no_control,broad,STAR,macs3,sambamba,test3,3798
Namani_no_control_broad_STAR_macs3_samtools_test1_peaks,Namani,no_control,broad,STAR,macs3,samtools,test1,3798
Namani_no_control_broad_STAR_macs3_samtools_test2_peaks,Namani,no_control,broad,STAR,macs3,samtools,test2,3798
Namani_no_control_broad_STAR_macs3_samtools_test3_peaks,Namani,no_control,broad,STAR,macs3,samtools,test3,3798
Namani_no_control_broad_bowtie2_genrich_no_deduplication_test1_peaks,Namani,no_control,broad,bowtie2,genrich,no_deduplication,test1,311949
