Filename,Peak_Counts,Project,Control,Peak_Type,Aligner,Peak_Caller,Deduplicator,Test,Peaks
Namani_no_control_broad_STAR_genrich_no_deduplication_test1_peaks,308549,Namani,no_control,broad,STAR,genrich,no_deduplication,test1,peaks
Namani_no_control_broad_STAR_genrich_no_deduplication_test2_peaks,308549,Namani,no_control,broad,STAR,genrich,no_deduplication,test2,peaks
Namani_no_control_broad_STAR_genrich_no_deduplication_test3_peaks,308549,Namani,no_control,broad,STAR,genrich,no_deduplication,test3,peaks
Namani_no_control_broad_STAR_genrich_picard_test1_peaks,216046,Namani,no_control,broad,STAR,genrich,picard,test1,peaks
Namani_no_control_broad_STAR_genrich_picard_test2_peaks,216046,Namani,no_control,broad,STAR,genrich,picard,test2,peaks
Namani_no_control_broad_STAR_genrich_picard_test3_peaks,216046,Namani,no_control,broad,STAR,genrich,picard,test3,peaks
Namani_no_control_broad_STAR_genrich_sambamba_test1_peaks,216046,Namani,no_control,broad,STAR,genrich,sambamba,test1,peaks
Namani_no_control_broad_STAR_genrich_sambamba_test2_peaks,216046,Namani,no_control,broad,STAR,genrich,sambamba,test2,peaks
Namani_no_control_broad_STAR_genrich_sambamba_test3_peaks,216046,Namani,no_control,broad,STAR,genrich,sambamba,test3,peaks
Namani_no_control_broad_STAR_genrich_samtools_test1_peaks,216046,Namani,no_control,broad,STAR,genrich,samtools,test1,peaks
Namani_no_control_broad_STAR_genrich_samtools_test2_peaks,216046,Namani,no_control,broad,STAR,genrich,samtools,test2,peaks
Namani_no_control_broad_STAR_genrich_samtools_test3_peaks,216046,Namani,no_control,broad,STAR,genrich,samtools,test3,peaks
Namani_no_control_broad_STAR_macs3_no_deduplication_test1_peaks,3807,Namani,no_control,broad,STAR,macs3,no_deduplication,test1,peaks
Namani_no_control_broad_STAR_macs3_no_deduplication_test2_peaks,3807,Namani,no_control,broad,STAR,macs3,no_deduplication,test2,peaks
Namani_no_control_broad_STAR_macs3_no_deduplication_test3_peaks,3807,Namani,no_control,broad,STAR,macs3,no_deduplication,test3,peaks
Namani_no_control_broad_STAR_macs3_picard_test1_peaks,3798,Namani,no_control,broad,STAR,macs3,picard,test1,peaks
Namani_no_control_broad_STAR_macs3_picard_test2_peaks,3798,Namani,no_control,broad,STAR,macs3,picard,test2,peaks
Namani_no_control_broad_STAR_macs3_picard_test3_peaks,3798,Namani,no_control,broad,STAR,macs3,picard,test3,peaks
Namani_no_control_broad_STAR_macs3_sambamba_test1_peaks,3798,Namani,no_control,broad,STAR,macs3,sambamba,test1,peaks
Namani_no_control_broad_STAR_macs3_sambamba_test2_peaks,3798,Namani,no_control,broad,STAR,macs3,sambamba,test2,peaks
Namani_no_control_broad_STAR_macs3_sambamba_test3_peaks,3798,Namani,no_control,broad,STAR,macs3,sambamba,test3,peaks
Namani_no_control_broad_STAR_macs3_samtools_test1_peaks,3798,Namani,no_control,broad,STAR,macs3,samtools,test1,peaks
Namani_no_control_broad_STAR_macs3_samtools_test2_peaks,3798,Namani,no_control,broad,STAR,macs3,samtools,test2,peaks
Namani_no_control_broad_STAR_macs3_samtools_test3_peaks,3798,Namani,no_control,broad,STAR,macs3,samtools,test3,peaks
Namani_no_control_broad_bowtie2_genrich_no_deduplication_test1_peaks,311949,Namani,no_control,broad,bowtie2,genrich,no_deduplication,test1,peaks
Namani_no_control_broad_bowtie2_genrich_no_deduplication_test2_peaks,311949,Namani,no_control,broad,bowtie2,genrich,no_deduplication,test2,peaks
Namani_no_control_broad_bowtie2_genrich_no_deduplication_test3_peaks,311949,Namani,no_control,broad,bowtie2,genrich,no_deduplication,test3,peaks
Namani_no_control_broad_bowtie2_genrich_picard_test1_peaks,224136,Namani,no_control,broad,bowtie2,genrich,picard,test1,peaks
Namani_no_control_broad_bowtie2_genrich_picard_test2_peaks,224136,Namani,no_control,broad,bowtie2,genrich,picard,test2,peaks
Namani_no_control_broad_bowtie2_genrich_picard_test3_peaks,224136,Namani,no_control,broad,bowtie2,genrich,picard,test3,peaks
Namani_no_control_broad_bowtie2_genrich_sambamba_test1_peaks,224136,Namani,no_control,broad,bowtie2,genrich,sambamba,test1,peaks
