Endedness,Peak_Type,Aligner,Peak_Caller,Deduplicator,Test_Dataset,Control,Synthetic_Genome_Path,Synthetic_Forward_Read_1_Path,Synthetic_Reverse_Read_1_Path,Synthetic_Forward_Read_2_Path,Synthetic_Reverse_Read_2_Path,Expected_Peaks,Observed_Peaks
paired,narrow,bwa_mem,macs3,samtools,1,no_control,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_1/genome.fa,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_1/exp_a_1.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_1/exp_a_2.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_1/exp_b_1.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_1/exp_b_2.fastq.gz,50,50
paired,narrow,bwa_mem,macs3,samtools,2,no_control,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_2/genome.fa,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_2/exp_a_1.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_2/exp_a_2.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_2/exp_b_1.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_2/exp_b_2.fastq.gz,50,50
paired,narrow,bwa_mem,macs3,samtools,3,no_control,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_3/genome.fa,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_3/exp_a_1.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_3/exp_a_2.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_3/exp_b_1.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_3/exp_b_2.fastq.gz,50,50
paired,narrow,bwa_mem,macs3,samtools,4,no_control,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_4/genome.fa,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_4/exp_a_1.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_4/exp_a_2.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_4/exp_b_1.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_4/exp_b_2.fastq.gz,50,50
paired,narrow,bwa_mem,macs3,samtools,5,no_control,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_5/genome.fa,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_5/exp_a_1.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_5/exp_a_2.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_5/exp_b_1.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_5/exp_b_2.fastq.gz,50,50
paired,narrow,bwa_mem,macs3,samtools,6,no_control,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_6/genome.fa,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_6/exp_a_1.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_6/exp_a_2.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_6/exp_b_1.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_6/exp_b_2.fastq.gz,50,50
paired,narrow,bwa_mem,macs3,no_deduplication,1,no_control,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_1/genome.fa,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_1/exp_a_1.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_1/exp_a_2.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_1/exp_b_1.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_1/exp_b_2.fastq.gz,50,50
paired,narrow,bwa_mem,macs3,no_deduplication,2,no_control,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_2/genome.fa,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_2/exp_a_1.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_2/exp_a_2.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_2/exp_b_1.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_2/exp_b_2.fastq.gz,50,50
paired,narrow,bwa_mem,macs3,no_deduplication,3,no_control,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_3/genome.fa,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_3/exp_a_1.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_3/exp_a_2.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_3/exp_b_1.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_3/exp_b_2.fastq.gz,50,50
paired,narrow,bwa_mem,macs3,no_deduplication,4,no_control,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_4/genome.fa,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_4/exp_a_1.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_4/exp_a_2.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_4/exp_b_1.fastq.gz,/share/korflab/home/viki/rocketchip_tests/exp_vs_obs/seq_data/paired_narrow/test_4/exp_b_2.fastq.gz,50,50
