Endedness,Peak_Type,Aligner,Peak_Caller,Deduplicator,Control,Min_Observed_Peaks,Max_Observed_Peaks,Std_Observed_Peaks,Mean_Observed_Peaks,Percent_Accuracy,Test_Data_1,Test_Data_2,Test_Data_3,Test_Data_4,Test_Data_5,Test_Data_6
paired,broad,STAR,cisgenome,no_deduplication,with_control,0,2,0.816496580927726,0.6666666666666666,0.0,0,0,1,0,1,2
paired,broad,STAR,cisgenome,picard,with_control,0,3,1.1690451944500122,0.8333333333333334,0.0,0,0,1,0,1,3
paired,broad,STAR,cisgenome,sambamba,with_control,0,3,1.1690451944500122,0.8333333333333334,0.0,0,0,1,0,1,3
paired,broad,STAR,cisgenome,samtools,with_control,0,3,1.1690451944500122,0.8333333333333334,0.0,0,0,1,0,1,3
paired,broad,STAR,genrich,no_deduplication,no_control,0,29,13.396516960264957,10.333333333333334,0.0,29,26,2,4,0,1
paired,broad,STAR,genrich,no_deduplication,with_control,0,11,4.88535225614967,3.3333333333333335,0.0,11,8,1,0,0,0
paired,broad,STAR,genrich,picard,no_control,0,26,12.675435561221029,9.666666666666666,0.0,26,26,2,2,0,2
paired,broad,STAR,genrich,picard,with_control,0,12,5.391351098441527,3.6666666666666665,0.0,12,9,1,0,0,0
paired,broad,STAR,genrich,sambamba,no_control,0,26,12.675435561221029,9.666666666666666,0.0,26,26,2,2,0,2
paired,broad,STAR,genrich,sambamba,with_control,0,12,5.391351098441527,3.6666666666666665,0.0,12,9,1,0,0,0
paired,broad,STAR,genrich,samtools,no_control,0,26,12.675435561221029,9.666666666666666,0.0,26,26,2,2,0,2
paired,broad,STAR,genrich,samtools,with_control,0,12,5.391351098441527,3.6666666666666665,0.0,12,9,1,0,0,0
paired,broad,STAR,macs3,no_deduplication,no_control,0,0,0.0,0.0,0.0,0,0,0,0,0,0
paired,broad,STAR,macs3,no_deduplication,with_control,0,0,0.0,0.0,0.0,0,0,0,0,0,0
paired,broad,STAR,macs3,picard,no_control,0,0,0.0,0.0,0.0,0,0,0,0,0,0
paired,broad,STAR,macs3,picard,with_control,0,0,0.0,0.0,0.0,0,0,0,0,0,0
paired,broad,STAR,macs3,sambamba,no_control,0,0,0.0,0.0,0.0,0,0,0,0,0,0
paired,broad,STAR,macs3,sambamba,with_control,0,0,0.0,0.0,0.0,0,0,0,0,0,0
paired,broad,STAR,macs3,samtools,no_control,0,0,0.0,0.0,0.0,0,0,0,0,0,0
